workerid,proliferate.condition,center_embedding,confidence,continuation,header,individual_judgment,item,passive,population_judgment,slide_number_in_experiment,time,version,error
6,condition1,no,0.87,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,hail damage,no,80,3,25897,filler_uncovered,
6,condition1,no,0.74,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,70,4,33070,filler_covered,
6,condition1,yes,0.84,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when a colorant or stain that is wielded by an adverse third party causes damage to the policyholder's property. ""</b>",yes,malicious acts or vandalism,yes,80,5,25193,covered,
6,condition1,no,0.67,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when an outside force breaks vehicle glass. This accident results in damage to the body work of the policyholder's vehicle.""</b>",yes,vehicle glass,no,60,6,25653,controversial,
6,condition1,no,0.55,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs when cables or pipes connected to the policyholder's home are located by a skilled professional. This incident results in damage to the policyholder's property.""</b>",no,trace and access,no,50,7,21367,covered,
6,condition1,yes,0.66,"One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident with an outside force that instigates a fire or explosion results in damage to the policyholder's vehicle.""</b>",no,vehicle fire,no,60,8,18842,uncovered,
6,condition1,yes,0.87,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident with a vehicular collision that produces an accidental injury results in damage to the policyholder's person.""</b>",yes,personal accident,no,80,9,19147,covered,
6,condition1,no,0.95,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with lightning that is created by a storm. This incident results in damage to the policyholder's property.""</b>",yes,storm damage,yes,90,10,52346,covered,
6,condition1,yes,0.79,"Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident within regular working conditions that incurs an injury results in missed employment for the policyholder.""</b>",yes,general damages,no,80,11,23624,controversial,
6,condition1,yes,0.59,"Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs when belongings from the policyholder's home are removed by professional removal contractors causing damage to the policyholder's belongings.""</b>",yes,house removal,yes,60,12,18490,controversial,
6,condition1,no,0.91,Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs when water abruptly and unexpectedly leaks from an internal source. This incident results in damage to the policyholder's property.""</b>",yes,escape of water,yes,80,13,15923,controversial,
6,condition1,yes,0.56,"One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident that occurs when ground movement or landslip that is induced by an outside force causes damage to the policyholder's property. ""</b>",no,ground heave,yes,70,14,17672,uncovered,
6,condition1,no,0.68,"Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident occurs with a fixed heating installation that leaks oil. This incident results in damage to the policyholder's property.""</b>",no,escape of oil,no,60,15,13978,uncovered,
6,condition1,no,0.58,"Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>",no,emergency damages,yes,50,16,32326,uncovered,
5,condition1,no,0.94,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,hail damage,no,95,3,61271,filler_uncovered,
5,condition1,no,0.72,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,75,4,41104,filler_covered,
5,condition1,yes,0.91,Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs when an internal source that abruptly and unexpectedly leaks water results in damage to the policyholder's property.""</b>",yes,escape of water,no,90,5,24477,covered,
5,condition1,no,0.86,"One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with a fire or explosion that is instigated by an outside force. This incident results in damage to the policyholder's property.""</b>",yes,vehicle fire,yes,80,6,29223,covered,
5,condition1,no,0.86,"Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors who remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>",no,house removal,no,70,7,66878,uncovered,
5,condition1,no,0.83,"Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident within regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>",yes,general damages,no,70,8,36731,covered,
5,condition1,no,0.78,"Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident within regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>",yes,general damages,no,70,9,19090,covered,
5,condition1,yes,0.58,"One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident that occurs when an outside force that induces ground movement or landslip causes damage to the policyholder's property. ""</b>",no,ground heave,no,50,10,60282,controversial,
5,condition1,yes,0.53,"Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when an entry to the policyholder's home that is forced open by first responders causing damage to the policyholder's property.""</b>",yes,emergency damages,yes,50,11,78039,uncovered,
5,condition1,no,0.83,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered with drawings made in permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when a colorant or stain is wielded by an adverse third party. This incident causes damage to the policyholder's property. ""</b>",no,malicious acts or vandalism,yes,70,12,34604,uncovered,
5,condition1,yes,0.84,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident with a storm that creates lightning results in damage to the policyholder's property.""</b>",no,storm damage,no,75,13,45960,uncovered,
5,condition1,no,0.76,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when an outside force breaks vehicle glass. This accident results in damage to the body work of the policyholder's vehicle.""</b>",yes,vehicle glass,no,80,14,38881,controversial,
5,condition1,yes,0.84,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident with an accidental injury that is produced in a vehicular collision results in damage to the policyholder's person.""</b>",yes,personal accident,yes,80,15,35422,covered,
5,condition1,yes,0.63,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs when cables or pipes connected to the policyholder's home are located by a skilled professional resulting in damage to the policyholder's property.""</b>",yes,trace and access,yes,60,16,80640,controversial,
9,condition1,no,0.82,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,hail damage,no,75,3,38857,filler_uncovered,
9,condition1,no,0.84,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,60,4,46096,filler_covered,
9,condition1,yes,0.82,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident that occurs with a fixed heating installation that leaks oil results in damage to the policyholder's property.""</b>",yes,escape of oil,no,85,5,43399,controversial,
9,condition1,yes,1,Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs when an internal source that abruptly and unexpectedly leaks water results in damage to the policyholder's property.""</b>",yes,escape of water,no,99,6,42077,covered,
9,condition1,yes,1,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident with an accidental injury that is produced in a vehicular collision results in damage to the policyholder's person.""</b>",yes,personal accident,yes,99,7,39128,covered,
9,condition1,no,0.73,"Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors who remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>",no,house removal,no,70,8,56119,controversial,
9,condition1,no,0.35,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when an adverse third party wields a colorant or stain. This incident causes damage to the policyholder's property. ""</b>",yes,malicious acts or vandalism,no,65,9,57344,covered,
9,condition1,no,0.17,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs when cables or pipes connected to the policyholder's home are located by a skilled professional. This incident results in damage to the policyholder's property.""</b>",no,trace and access,no,40,10,44347,uncovered,
9,condition1,yes,0.66,"One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident with a fire or explosion that is instigated by an outside force results in damage to the policyholder's vehicle.""</b>",yes,vehicle fire,yes,77,11,43109,controversial,
9,condition1,yes,0.83,"Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident with an injury that is incurred within regular working conditions results in missed employment for the policyholder.""</b>",no,general damages,yes,80,12,35388,uncovered,
9,condition1,no,0.67,"Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>",yes,emergency damages,yes,45,13,45876,uncovered,
9,condition1,no,0.64,"Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>",yes,emergency damages,yes,45,14,14075,uncovered,
9,condition1,yes,0.86,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when an outside force that breaks vehicle glass results in damage to the body work of the policyholder's vehicle.""</b>",no,vehicle glass,no,85,15,43470,uncovered,
9,condition1,no,0.58,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with lightning that is created by a storm. This incident results in damage to the policyholder's property.""</b>",yes,storm damage,yes,59,16,36202,controversial,
3,condition1,no,0.89,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,hail damage,no,80,3,74074,filler_uncovered,
3,condition1,no,0.95,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,75,4,38533,filler_covered,
3,condition1,yes,0.61,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when a colorant or stain that is wielded by an adverse third party causes damage to the policyholder's property. ""</b>",yes,malicious acts or vandalism,yes,75,5,68789,controversial,
3,condition1,no,0.77,Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs when water abruptly and unexpectedly leaks from an internal source. This incident results in damage to the policyholder's property.""</b>",yes,escape of water,yes,80,6,37465,controversial,
3,condition1,yes,0.88,"Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs when professional removal contractors who remove belongings from the policyholder's home cause damage to the policyholder's property."" </b>",yes,house removal,no,60,7,40534,covered,
3,condition1,yes,0.66,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident with a storm that creates lightning results in damage to the policyholder's property.""</b>",no,storm damage,no,50,8,41256,uncovered,
3,condition1,yes,0.79,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident with an accidental injury that is produced in a vehicular collision results in damage to the policyholder's person.""</b>",yes,personal accident,yes,70,9,33254,covered,
3,condition1,no,0.59,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs when cables or pipes connected to the policyholder's home are located by a skilled professional. This incident results in damage to the policyholder's property.""</b>",yes,trace and access,yes,50,10,29086,uncovered,
3,condition1,no,0.98,"Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident occurs with a fixed heating installation that leaks oil. This incident results in damage to the policyholder's property.""</b>",yes,escape of oil,no,90,11,27194,covered,
3,condition1,yes,0.91,"One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident that occurs when an outside force that induces ground movement or landslip causes damage to the policyholder's property. ""</b>",yes,ground heave,no,75,12,29122,controversial,
3,condition1,no,0.91,"One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with a fire or explosion that is instigated by an outside force. This incident results in damage to the policyholder's property.""</b>",yes,vehicle fire,yes,80,13,21829,covered,
3,condition1,yes,0.29,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when vehicle glass that is broken by an outside force results in damage to the body work of the policyholder's vehicle.""</b>",no,vehicle glass,yes,40,14,53794,uncovered,
3,condition1,no,0.58,"Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident within regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>",no,general damages,no,40,15,58202,controversial,
3,condition1,no,0.42,"Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when first responders force open an entry to the policyholder's home. This incident causes damage to the policyholder's property.""</b>",yes,emergency damages,no,50,16,39368,uncovered,
